,amount_of_feats_to_reg,corr_cutoff_bound,linear_reg_to,next_predictor_provider,order,req_neighs,Rm_mape,Rm_r2,Rm_missing_from_test,Rm_missing,Rp02_mape,Rp02_r2,Rp02_missing_from_test,Rp02_missing,A5_mape,A5_r2,A5_missing_from_test,A5_missing,HB_mape,HB_r2,HB_missing_from_test,HB_missing,K_mape,K_r2,K_missing_from_test,K_missing,avg_r2,avg_mape,missing_all,missing_test_percent
50,1,0.95,0.7,lin,1,20,5.076579379386326,0.8750050414588637,5,55.0,5.541482060011827,0.8474541335352854,5,68.0,7.8335430331187474,0.94217665380197,19,280.0,6.243507695891013,0.7849262174251225,10,53.0,30.372328492015647,0.8674769805514386,9,325.0,0.8634078053545361,11.013488132084712,781.0,0.5581395348837209
55,1,0.95,0.7,dectree,1,10,5.076579379386326,0.8750050414588637,5,55.0,5.541482060011827,0.8474541335352854,5,68.0,7.8335430331187474,0.94217665380197,19,280.0,6.243507695891013,0.7849262174251225,10,53.0,30.372328492015647,0.8674769805514386,9,325.0,0.8634078053545361,11.013488132084712,781.0,0.5581395348837209
67,1,0.95,0.85,dectree,1,10,5.076579379386326,0.8750050414588637,5,55.0,5.541482060011827,0.8474541335352854,5,68.0,7.8335430331187474,0.94217665380197,19,280.0,6.243507695891013,0.7849262174251225,10,53.0,30.372328492015647,0.8674769805514386,9,325.0,0.8634078053545361,11.013488132084712,781.0,0.5581395348837209
66,1,0.95,0.85,dectree,1,5,6.6072559129544715,0.6781163082710282,7,124.0,7.215932432681936,0.7935798425119863,2,132.0,23.0214081012041,0.352028877483727,17,270.0,3.511491019663461,0.9364621702144748,10,142.0,14.784002350564048,,10,337.0,,11.028017963413603,1005.0,0.5348837209302325
54,1,0.95,0.7,dectree,1,5,6.6072559129544715,0.6781163082710282,7,124.0,7.215932432681936,0.7935798425119863,2,132.0,23.0214081012041,0.352028877483727,17,270.0,3.511491019663461,0.9364621702144748,10,142.0,14.784002350564048,,10,337.0,,11.028017963413603,1005.0,0.5348837209302325
60,1,0.95,0.85,lin,1,5,6.6072559129544715,0.6781163082710282,7,124.0,7.215932432681936,0.7935798425119863,2,132.0,23.0214081012041,0.352028877483727,17,270.0,3.511491019663461,0.9364621702144748,10,142.0,14.784002350564048,,10,337.0,,11.028017963413603,1005.0,0.5348837209302325
64,1,0.95,0.85,lin,2,10,6.960676161364115,0.6546139436073615,7,123.0,7.1034803734449605,0.7996099277691416,2,128.0,23.0214081012041,0.352028877483727,17,270.0,3.4502851894721935,0.9358786327459616,9,149.0,14.784002350564048,,10,342.0,,11.063970435209885,1012.0,0.5232558139534884
52,1,0.95,0.7,lin,2,10,6.960676161364115,0.6546139436073615,7,123.0,7.1034803734449605,0.7996099277691416,2,128.0,23.0214081012041,0.352028877483727,17,270.0,3.4502851894721935,0.9358786327459616,9,149.0,14.784002350564048,,10,342.0,,11.063970435209885,1012.0,0.5232558139534884
57,1,0.95,0.7,dectree,2,5,6.960676161364115,0.6546139436073615,7,123.0,7.1034803734449605,0.7996099277691416,2,128.0,23.0214081012041,0.352028877483727,17,270.0,3.4502851894721935,0.9358786327459616,9,149.0,14.784002350564048,,10,342.0,,11.063970435209885,1012.0,0.5232558139534884
23,1,0.85,0.85,dectree,2,20,7.338985248219081,0.6151560635890868,0,6.0,7.429201455105101,0.7915952515471743,1,9.0,20.343813197912784,0.3388694209001202,14,168.0,6.191191201811881,0.8126499995589801,3,103.0,14.784002350564048,,10,318.0,,11.21743869072258,604.0,0.32558139534883723
